RowName,E.4_prevision,A.6_prevision,B.6_prevision,D.4_prevision,C.4_prevision,D.6_prevision,A.8_prevision,A.1_prevision,B.1_prevision,A.2_prevision,D.9_prevision,D.12_prevision,E.9_prevision,C.2_prevision,B.2_prevision,E.2_prevision,A.4_prevision,B.4_prevision,A.9_prevision,D.7_prevision,D.2_prevision,E.7_prevision,E.5_prevision,E.3_prevision,B.5_prevision,D.10_prevision,A.7_prevision,D.5_prevision,C.1_prevision,E.8_prevision,A.3_prevision,D.1_prevision,D.11_prevision,C.3_prevision,E.6_prevision,B.3_prevision,D.3_prevision,A.5_prevision,D.8_prevision,E.1_prevision
TC105: Mobiles for International Development,0.45,0.0,0.7,0.2,0.6428571428571428,0.16666666666666666,1.1857142857142857,0.0,0.2857142857142857,0.3666666666666667,0.819047619047619,0.2,0.0,0.2,0.5714285714285714,0.0,0.16666666666666666,0.16666666666666666,0.5333333333333333,0.2,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0333333333333332,0.5,0.0,0.0,0.0,0.2,0.6000000000000001,0.2,0.0,0.2,1.6,0.7333333333333334,0.4
Applications of Linear Algebra Part 1,0.4,0.0,0.4,0.2,0.0,0.0,0.4,0.0,0.0,0.4222222222222222,0.6444444444444444,0.2,0.8888888888888888,0.2,0.0,0.0,0.5,0.5,2.311111111111111,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.3666666666666667,0.0,0.0,0.0,0.4,1.0,0.2,0.4,0.6000000000000001,0.8,2.511111111111111,0.4
Foundations of Virtual Instruction,0.25,0.0,0.5,0.2,0.6428571428571428,0.3333333333333333,1.1857142857142855,0.0,0.2857142857142857,0.3333333333333333,0.6190476190476191,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5714285714285714,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.2,0.4,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0333333333333332,0.5,0.0,0.16666666666666666,0.0,0.0,1.0,0.0,0.4,0.6000000000000001,1.5999999999999999,0.7333333333333334,0.2
Silicon Photonics Design_ Fabrication and Data Analysis,0.2,0.0,0.2,0.2,0.30952380952380953,0.0,0.6857142857142857,0.0,0.2857142857142857,0.3666666666666667,0.6523809523809524,0.3666666666666667,0.0,0.2,0.9047619047619047,0.3333333333333333,0.5,0.5,0.8666666666666667,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.2,0.2,0.4,0.4,0.6666666666666666,0.0,0.4,0.8666666666666667,0.4
Project Management for Administrators,0.9,0.2,1.15,0.2,0.5,0.16666666666666666,0.7,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5333333333333333,0.0,0.0,0.6666666666666666,0.0,0.2,0.2,0.2,0.2,1.0666666666666667,0.5333333333333333,0.25,0.0,0.2,0.4,0.4,0.4,0.25,0.2,1.7999999999999998,0.2,0.2
Electrical_ Optical_ and Magnetic Materials and Devices,0.4,0.0,0.4,0.0,0.0,0.16666666666666666,0.2,0.0,0.0,0.38888888888888884,0.9444444444444444,0.16666666666666666,0.8888888888888888,0.0,0.0,0.3333333333333333,0.5,0.5,2.7777777777777777,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0,0.16666666666666666,0.7,0.0,0.0,0.2,0.4,0.6000000000000001,0.4,0.4,0.4,0.2,2.6444444444444444,0.4
Learn Adobe After Effects and make better videos today!,0.2,0.0,0.2,0.2,0.0,0.16666666666666666,0.4,0.0,0.0,0.3666666666666667,0.2,0.3666666666666667,0.16666666666666666,0.3666666666666667,0.0,0.3333333333333333,0.16666666666666666,0.5,0.5333333333333333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.16666666666666666,0.0,0.16666666666666666,0.0,0.2,0.6000000000000001,0.2,0.0,0.2,0.6000000000000001,0.7333333333333334,0.4
Authenticate Node.js With OAuth 2.0,0.2,0.0,0.2,0.2,0.0,0.16666666666666666,0.4,0.0,0.0,0.38888888888888884,0.9444444444444443,0.16666666666666666,0.8888888888888888,0.0,0.0,0.3333333333333333,0.5,0.5,2.777777777777778,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.3666666666666667,0.5,0.0,0.0,0.2,0.2,0.6000000000000001,0.4,0.0,0.2,0.6000000000000001,2.8444444444444446,0.4
Flash Professional CS5: Code Snippets and Templates in Depth,0.2,0.0,0.2,0.2,0.0,0.16666666666666666,0.4,0.0,0.0,0.3666666666666667,0.2,0.3666666666666667,0.16666666666666666,0.3666666666666667,0.0,0.3333333333333333,0.16666666666666666,0.5,0.5333333333333333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.16666666666666666,0.0,0.16666666666666666,0.0,0.2,0.6000000000000001,0.2,0.0,0.2,0.6000000000000001,0.7333333333333334,0.4
Introduction to Java for Programmers,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.4,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0333333333333332,0.5,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.4,0.6000000000000001,0.2,0.5333333333333333,0.0
Learning Java Bit By Bit In Arabic,0.0,0.0,0.0,0.2,0.30952380952380953,0.16666666666666666,0.6857142857142857,0.0,0.2857142857142857,0.5333333333333333,0.6523809523809524,0.5333333333333333,0.16666666666666666,0.3666666666666667,0.9047619047619047,0.3333333333333333,0.5,0.5,0.8666666666666667,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.2,0.0,0.4,0.2,0.6666666666666666,0.0,0.4,0.8666666666666667,0.2
Require JS Explained,0.2,0.0,0.2,0.2,0.0,0.16666666666666666,0.4,0.0,0.0,0.5888888888888889,0.6444444444444444,0.3666666666666667,1.0555555555555556,0.3666666666666667,0.0,0.3333333333333333,0.16666666666666666,0.5,2.311111111111111,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.16666666666666666,0.0,0.16666666666666666,0.0,0.2,1.0,0.2,0.4,0.6000000000000001,0.6000000000000001,2.511111111111111,0.4
Discrete Time Signals and Systems_ Part 1: Time Domain,0.2,0.0,0.2,0.2,0.14285714285714285,0.0,0.6857142857142857,0.0,0.2857142857142857,0.4222222222222222,0.9301587301587301,0.2,0.8888888888888888,0.2,0.5714285714285714,0.0,0.16666666666666666,0.16666666666666666,1.9777777777777776,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0,0.3666666666666667,0.16666666666666666,0.0,0.0,0.2,0.2,1.0,0.4,0.4,0.6000000000000001,0.6000000000000001,2.5111111111111115,0.4
Microsoft Word VBA Macro Programming - Introduction,0.65,0.0,0.8999999999999999,0.2,0.5,0.0,0.9,0.0,0.0,0.4222222222222222,0.6444444444444444,0.2,0.8888888888888888,0.2,0.0,0.0,0.5,0.5,2.311111111111111,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.3666666666666667,0.0,0.0,0.0,0.4,0.6000000000000001,0.2,0.0,0.2,1.8,2.511111111111111,0.4
Coaching Digital Learning | Cultivating a Culture of Change,0.25,0.0,0.5,0.2,0.6428571428571428,0.16666666666666666,1.1857142857142855,0.0,0.2857142857142857,0.16666666666666666,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5714285714285714,0.0,0.16666666666666666,0.16666666666666666,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.4,0.0,0.0,0.0,1.4,0.5333333333333333,0.2
Case-Based Introduction to Biostatistics,0.25,0.0,0.5,0.0,0.5,0.16666666666666666,0.7,0.0,0.0,0.5888888888888889,0.9777777777777776,0.2,0.8888888888888888,0.2,0.0,0.0,0.5,0.5,2.644444444444445,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0,0.3666666666666667,0.5,0.0,0.0,0.2,0.0,0.8,0.2,0.4,0.6000000000000001,1.2,2.5111111111111115,0.2
Understanding the UKs 2015 General Election,0.4,0.0,0.4,0.2,0.14285714285714285,0.16666666666666666,0.6857142857142857,0.0,0.2857142857142857,0.3666666666666667,0.819047619047619,0.2,0.0,0.2,0.5714285714285714,0.0,0.16666666666666666,0.16666666666666666,0.5333333333333333,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.3666666666666667,0.7,0.0,0.0,0.2,0.4,0.6000000000000001,0.4,0.0,0.2,0.8,0.7333333333333334,0.4
Principles of Reactive Programming,0.2,0.0,0.2,0.0,0.30952380952380953,0.0,0.4857142857142857,0.0,0.2857142857142857,0.3666666666666667,0.6523809523809524,0.3666666666666667,0.0,0.2,0.9047619047619047,0.3333333333333333,0.5,0.5,0.8666666666666667,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0,0.16666666666666666,0.3666666666666667,0.0,0.0,0.2,0.2,0.6000000000000001,0.2,1.0666666666666667,0.4,0.2,0.8666666666666667,0.2
Web Elements Design With Photoshop,0.25,0.0,0.5,0.2,0.5,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.4,0.0,0.0
Fundamentals of Electrical Engineering,0.45,0.0,0.7,0.2,0.5,0.16666666666666666,0.9,0.0,0.0,0.5888888888888889,0.6444444444444444,0.3666666666666667,1.0555555555555556,0.3666666666666667,0.0,0.0,0.0,0.0,1.9777777777777776,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.16666666666666666,0.2,0.2,0.8,0.2,0.4,0.4,1.6,1.9777777777777776,0.2
Introduction to C Programming,0.2,0.0,0.2,0.2,0.30952380952380953,0.0,0.6857142857142857,0.0,0.2857142857142857,0.3666666666666667,0.6523809523809524,0.3666666666666667,0.0,0.2,0.9047619047619047,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5333333333333333,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.3666666666666667,0.16666666666666666,0.0,0.0,0.2,0.2,0.6000000000000001,0.4,0.6666666666666666,0.2,0.6000000000000001,1.0666666666666667,0.4
Build  iPhone_ Android and HTML 5 Apps - No Coding Required!,0.65,0.0,0.9,0.2,0.5,0.16666666666666666,0.9,0.0,0.0,0.5888888888888889,0.9777777777777777,0.2,0.8888888888888888,0.2,0.0,0.0,0.5,0.5,2.6444444444444444,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.7,0.0,0.0,0.0,0.4,0.4,0.2,0.0,0.0,1.6,2.311111111111111,0.4
Psychology of Popularity,0.2,0.0,0.2,0.2,0.0,0.16666666666666666,0.4,0.0,0.0,0.3666666666666667,0.2,0.3666666666666667,0.16666666666666666,0.3666666666666667,0.0,0.3333333333333333,0.16666666666666666,0.5,0.5333333333333333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.16666666666666666,0.0,0.16666666666666666,0.0,0.2,0.6000000000000001,0.2,0.0,0.2,0.6000000000000001,0.7333333333333334,0.4
The Caltech-JPL Summer School on Big Data Analytics,0.45,0.0,0.7,0.2,0.6428571428571428,0.0,1.1857142857142857,0.0,0.2857142857142857,0.4222222222222222,0.9301587301587302,0.2,0.8888888888888888,0.2,0.5714285714285714,0.0,0.16666666666666666,0.16666666666666666,1.9777777777777776,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.16666666666666666,0.0,0.0,0.0,0.2,1.0,0.2,0.4,0.6000000000000001,1.5999999999999999,2.511111111111111,0.4
Games without Chance: Combinatorial Game Theory ,0.2,0.0,0.2,0.2,0.0,0.16666666666666666,0.4,0.0,0.0,0.3666666666666667,0.2,0.3666666666666667,0.16666666666666666,0.3666666666666667,0.0,0.3333333333333333,0.16666666666666666,0.5,0.5333333333333333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.16666666666666666,0.0,0.16666666666666666,0.0,0.2,0.6000000000000001,0.2,0.0,0.2,0.6000000000000001,0.7333333333333334,0.4
Content Strategy for Professionals 2: Expanding Your Content’s Impact and Reach,0.4,0.0,0.4,0.2,0.14285714285714285,0.0,0.6857142857142857,0.0,0.2857142857142857,0.2,0.4857142857142857,0.2,0.0,0.2,0.5714285714285714,0.0,0.16666666666666666,0.16666666666666666,0.2,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0,0.3666666666666667,0.3666666666666667,0.0,0.0,0.2,0.4,1.0,0.4,0.4,0.6000000000000001,0.8,0.7333333333333334,0.4
Machine Learning for Data Science and Analytics,0.65,0.0,0.9,0.2,0.5,0.0,0.9,0.0,0.0,0.4222222222222222,0.6444444444444444,0.2,0.8888888888888888,0.2,0.0,0.0,0.16666666666666666,0.16666666666666666,1.9777777777777776,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.3666666666666667,0.0,0.0,0.0,0.4,1.0,0.2,0.4,0.6000000000000001,1.8,2.511111111111111,0.4
Engineering Software as a Service (SaaS)_ Part 1,0.2,0.0,0.2,0.2,0.30952380952380953,0.0,0.6857142857142857,0.0,0.2857142857142857,0.3666666666666667,0.6523809523809524,0.3666666666666667,0.0,0.2,0.9047619047619047,0.3333333333333333,0.5,0.5,0.8666666666666667,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.2,0.2,0.4,0.4,0.6666666666666666,0.0,0.4,0.8666666666666667,0.4
Teaching Statistical Thinking: Part 1 Descriptive Statistics,0.0,0.0,0.0,0.2,0.30952380952380953,0.0,0.4857142857142857,0.0,0.2857142857142857,0.5888888888888889,1.0968253968253967,0.3666666666666667,0.8888888888888888,0.2,0.9047619047619047,0.3333333333333333,0.5,0.5,2.6444444444444444,0.0,0.4,0.0,0.0,0.2,0.2,0.2,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.2,0.0,0.6000000000000001,0.2,1.0666666666666667,0.4,0.4,2.4444444444444446,0.0
Software Defined Networking,0.2,0.0,0.2,0.0,0.30952380952380953,0.16666666666666666,0.4857142857142857,0.0,0.2857142857142857,0.5333333333333333,0.9857142857142855,0.3666666666666667,0.0,0.2,0.9047619047619047,0.3333333333333333,0.5,0.5,1.2,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.16666666666666666,0.5,0.0,0.0,0.2,0.2,0.2,0.4,0.6666666666666666,0.0,0.0,0.8666666666666667,0.4
Discrete Time Signals and Systems_ Part 2: Frequency Domain,0.2,0.0,0.2,0.2,0.14285714285714285,0.0,0.6857142857142857,0.0,0.2857142857142857,0.4222222222222222,0.9301587301587301,0.2,0.8888888888888888,0.2,0.5714285714285714,0.0,0.16666666666666666,0.16666666666666666,1.9777777777777776,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0,0.3666666666666667,0.16666666666666666,0.0,0.0,0.2,0.2,1.0,0.4,0.4,0.6000000000000001,0.6000000000000001,2.5111111111111115,0.4
Text Retrieval and Search Engines,0.45,0.0,0.7,0.2,0.5,0.0,0.9,0.0,0.0,0.4222222222222222,0.6444444444444444,0.2,0.8888888888888888,0.2,0.0,0.0,0.5,0.5,2.311111111111111,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.16666666666666666,0.0,0.0,0.0,0.2,1.0,0.2,0.4,0.6000000000000001,1.6,2.511111111111111,0.4
Compilers,0.25,0.0,0.5,0.2,0.6428571428571428,0.0,1.1857142857142855,0.0,0.2857142857142857,0.2,0.6523809523809523,0.3666666666666667,0.0,0.2,0.5714285714285714,0.3333333333333333,0.5,0.5,0.8666666666666667,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.3666666666666667,0.16666666666666666,0.0,0.0,0.2,0.0,0.6000000000000001,0.2,0.0,0.2,1.6,1.0666666666666667,0.2
Learning Autodesk AutoCAD - Crash Course,0.0,0.0,0.0,0.2,0.30952380952380953,0.0,0.6857142857142857,0.0,0.2857142857142857,0.3666666666666667,0.6523809523809524,0.3666666666666667,0.0,0.2,0.9047619047619047,0.6666666666666666,0.5,0.8333333333333333,1.2,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.2,0.0,0.4,0.2,0.6666666666666666,0.0,0.4,0.8666666666666667,0.2
Apple Final Cut Pro X Tutorial Video - Infinite Skills,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.4,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0333333333333332,0.5,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.4,0.6000000000000001,0.2,0.5333333333333333,0.0
Building Cloud Apps with Microsoft Azure – Part 2,0.2,0.0,0.2,0.2,0.0,0.16666666666666666,0.4,0.0,0.0,0.3666666666666667,0.2,0.3666666666666667,0.16666666666666666,0.3666666666666667,0.0,0.3333333333333333,0.16666666666666666,0.5,0.5333333333333333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.16666666666666666,0.0,0.16666666666666666,0.0,0.2,0.6000000000000001,0.2,0.0,0.2,0.6000000000000001,0.7333333333333334,0.4
Building Cloud Apps with Microsoft Azure – Part 3,0.2,0.0,0.2,0.2,0.0,0.16666666666666666,0.4,0.0,0.0,0.3666666666666667,0.2,0.3666666666666667,0.16666666666666666,0.3666666666666667,0.0,0.3333333333333333,0.16666666666666666,0.5,0.5333333333333333,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.3666666666666667,0.16666666666666666,0.0,0.16666666666666666,0.2,0.2,0.6000000000000001,0.4,0.0,0.2,0.6000000000000001,0.7333333333333334,0.4
iOS Programming in Swift,0.2,0.0,0.2,0.2,0.30952380952380953,0.0,0.6857142857142857,0.0,0.2857142857142857,0.3666666666666667,0.6523809523809524,0.3666666666666667,0.0,0.2,0.9047619047619047,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5333333333333333,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.3666666666666667,0.16666666666666666,0.0,0.0,0.2,0.2,0.6000000000000001,0.4,0.6666666666666666,0.2,0.6000000000000001,1.0666666666666667,0.4
Code Clinic: C++,0.25,0.0,0.5,0.2,0.5,0.0,0.8999999999999999,0.0,0.0,0.4222222222222222,0.811111111111111,0.3666666666666667,0.8888888888888888,0.2,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,2.311111111111111,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0,0.3666666666666667,0.16666666666666666,0.0,0.0,0.2,0.0,1.0,0.2,0.4,0.6000000000000001,1.5999999999999999,2.844444444444445,0.2
